,tconst,averageRating,numVotes
451270,tt10127302,8.0,17
451274,tt10127410,4.5,160
451277,tt10127464,5.9,33
451282,tt10127546,9.1,326
451283,tt10127562,6.5,2961
451289,tt10127628,6.1,76
451290,tt10127634,2.6,20
451292,tt10127684,6.1,9094
451293,tt10127696,7.8,14
451295,tt10127708,5.8,4400
451301,tt10127760,7.5,185
451350,tt10128580,7.1,21
451365,tt10128920,4.5,353
451370,tt10129040,5.6,290
451376,tt10129414,7.5,8
451382,tt10129678,8.2,5
451388,tt10129824,6.6,8
451425,tt10130954,7.8,23
451434,tt10131024,5.8,9172
451435,tt10131028,4.1,131
451454,tt10131150,7.7,24
451466,tt10131230,6.7,95
451478,tt10131762,5.5,743
451479,tt10131904,5.0,81
451484,tt10132048,7.5,262
451485,tt10132068,6.0,119
451492,tt10132196,2.6,3223
451507,tt10132488,6.3,111
451526,tt10132976,6.1,828
451530,tt10133066,8.5,1145
451531,tt10133076,5.8,14
451535,tt10133220,9.2,5
451538,tt10133278,6.0,29
451539,tt10133296,7.5,76
451540,tt10133300,8.0,1539
451547,tt10133378,5.3,323
451548,tt10133380,8.4,22
451578,tt10133680,6.3,39
451588,tt10133780,6.1,77
451613,tt10134372,8.4,56
451657,tt10134756,8.8,6
451658,tt10134812,6.5,37
451669,tt10135068,6.8,738
451717,tt10136034,8.3,30
451740,tt10136364,5.1,33
451744,tt10136434,5.8,115
451751,tt10136606,7.2,49
451753,tt10136634,8.3,19
451774,tt10136880,4.8,350
451795,tt10137106,7.0,10
451850,tt10138312,6.5,48
451960,tt10140002,7.8,448
451961,tt10140014,7.8,9
451968,tt10140138,3.5,59
451978,tt10140310,5.3,25
452005,tt10140532,4.8,20
452012,tt10140592,7.5,10
452045,tt10140922,6.3,539
452052,tt10141026,5.7,86
452073,tt10141678,4.5,19
452074,tt10141690,9.4,5
452086,tt10141990,8.0,139
452176,tt10143114,5.3,181
452190,tt10143308,5.4,245
452206,tt10143498,6.2,2097
452220,tt10144210,6.2,10
452225,tt10144276,7.0,61
452243,tt10145122,6.6,5934
452252,tt10146070,7.2,122
452255,tt10146194,7.5,19
452257,tt10146198,6.4,132
452258,tt10146204,6.0,22
452259,tt10146208,6.3,368
452283,tt10146586,5.1,9
452299,tt10146728,7.3,199
452339,tt10147284,4.0,6
452345,tt10147382,6.3,2001
452359,tt10147546,7.5,7297
452360,tt10147568,6.1,87
452361,tt10147580,5.7,1827
452363,tt10147590,6.6,5
452369,tt1014763,6.4,72324
452404,tt10147910,5.6,1008
452407,tt10147936,3.0,374
452409,tt1014794,5.8,21
452424,tt10148118,4.8,3376
452425,tt10148150,7.5,316
452436,tt10149080,6.3,140
452477,tt10149506,4.8,40
452489,tt10149800,4.0,8
